condition,seed_id,repeat_index,lambda1_mean,lambda1_std,lambda1_cv,layerwise_variance_mean,profile_slope_mean,n_tangent_seeds,n_valid,nan_count,renorm_cadence,model_id,compute_time_s
HETERO_ROT,instruction_following_1,3,0.08522188,0.00265941,0.031206,0.11322435,-0.01131123,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.17
HETERO_ROT,instruction_following_1,4,0.08522188,0.00265941,0.031206,0.11322435,-0.01131123,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.15
HETERO_ROT,instruction_following_2,0,0.08795297,0.0030755,0.034968,0.11708149,-0.01193143,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.11
HETERO_ROT,instruction_following_2,1,0.08795297,0.0030755,0.034968,0.11708149,-0.01193143,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.09
HETERO_ROT,instruction_following_2,2,0.08795297,0.0030755,0.034968,0.11708149,-0.01193143,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.18
HETERO_ROT,instruction_following_2,3,0.08795297,0.0030755,0.034968,0.11708149,-0.01193143,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.11
HETERO_ROT,instruction_following_2,4,0.08795297,0.0030755,0.034968,0.11708149,-0.01193143,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.13
HETERO_ROT,instruction_following_3,0,0.08635101,0.00310487,0.035956,0.11515477,-0.01156003,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.17
HETERO_ROT,instruction_following_3,1,0.08635101,0.00310487,0.035956,0.11515477,-0.01156003,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.05
HETERO_ROT,instruction_following_3,2,0.08635101,0.00310487,0.035956,0.11515477,-0.01156003,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.08
HETERO_ROT,instruction_following_3,3,0.08635101,0.00310487,0.035956,0.11515477,-0.01156003,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.16
HETERO_ROT,instruction_following_3,4,0.08635101,0.00310487,0.035956,0.11515477,-0.01156003,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.25
HETERO_ROT,instruction_following_4,0,0.08652298,0.00156649,0.018105,0.12993274,-0.01211038,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.21
HETERO_ROT,instruction_following_4,1,0.08652298,0.00156649,0.018105,0.12993274,-0.01211038,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.2
HETERO_ROT,instruction_following_4,2,0.08652298,0.00156649,0.018105,0.12993274,-0.01211038,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.15
HETERO_ROT,instruction_following_4,3,0.08652298,0.00156649,0.018105,0.12993274,-0.01211038,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.14
HETERO_ROT,instruction_following_4,4,0.08652298,0.00156649,0.018105,0.12993274,-0.01211038,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.2
HETERO_ROT,instruction_following_5,0,0.09588192,0.00245235,0.025577,0.10211806,-0.01065787,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.15
HETERO_ROT,instruction_following_5,1,0.09588192,0.00245235,0.025577,0.10211806,-0.01065787,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.01
HETERO_ROT,instruction_following_5,2,0.09588192,0.00245235,0.025577,0.10211806,-0.01065787,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.08
HETERO_ROT,instruction_following_5,3,0.09588192,0.00245235,0.025577,0.10211806,-0.01065787,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.17
HETERO_ROT,instruction_following_5,4,0.09588192,0.00245235,0.025577,0.10211806,-0.01065787,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.13
HETERO_ROT,paraphrase_0,0,0.09811318,0.0042766,0.043588,0.11704717,-0.01164849,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.11
HETERO_ROT,paraphrase_0,1,0.09811318,0.0042766,0.043588,0.11704717,-0.01164849,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.01
HETERO_ROT,paraphrase_0,2,0.09811318,0.0042766,0.043588,0.11704717,-0.01164849,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.05
HETERO_ROT,paraphrase_0,3,0.09811318,0.0042766,0.043588,0.11704717,-0.01164849,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.0
HETERO_ROT,paraphrase_0,4,0.09811318,0.0042766,0.043588,0.11704717,-0.01164849,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.17
HETERO_ROT,paraphrase_1,0,0.1037042,0.0037742,0.036394,0.12652331,-0.01325967,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.08
HETERO_ROT,paraphrase_1,1,0.1037042,0.0037742,0.036394,0.12652331,-0.01325967,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.18
HETERO_ROT,paraphrase_1,2,0.1037042,0.0037742,0.036394,0.12652331,-0.01325967,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.13
HETERO_ROT,paraphrase_1,3,0.1037042,0.0037742,0.036394,0.12652331,-0.01325967,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.17
HETERO_ROT,paraphrase_1,4,0.1037042,0.0037742,0.036394,0.12652331,-0.01325967,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.04
HETERO_ROT,paraphrase_2,0,0.10314943,0.00487075,0.04722,0.13407243,-0.01443016,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.18
HETERO_ROT,paraphrase_2,1,0.10314943,0.00487075,0.04722,0.13407243,-0.01443016,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.26
HETERO_ROT,paraphrase_2,2,0.10314943,0.00487075,0.04722,0.13407243,-0.01443016,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.12
HETERO_ROT,paraphrase_2,3,0.10314943,0.00487075,0.04722,0.13407243,-0.01443016,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.21
HETERO_ROT,paraphrase_2,4,0.10314943,0.00487075,0.04722,0.13407243,-0.01443016,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.3
HETERO_ROT,paraphrase_3,0,0.10354068,0.00438007,0.042303,0.13485286,-0.01418232,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.33
HETERO_ROT,paraphrase_3,1,0.10354068,0.00438007,0.042303,0.13485286,-0.01418232,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.37
HETERO_ROT,paraphrase_3,2,0.10354068,0.00438007,0.042303,0.13485286,-0.01418232,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.28
HETERO_ROT,paraphrase_3,3,0.10354068,0.00438007,0.042303,0.13485286,-0.01418232,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.26
HETERO_ROT,paraphrase_3,4,0.10354068,0.00438007,0.042303,0.13485286,-0.01418232,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.25
HETERO_ROT,paraphrase_4,0,0.09780584,0.00409188,0.041837,0.12749014,-0.01241638,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.15
HETERO_ROT,paraphrase_4,1,0.09780584,0.00409188,0.041837,0.12749014,-0.01241638,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.14
HETERO_ROT,paraphrase_4,2,0.09780584,0.00409188,0.041837,0.12749014,-0.01241638,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.1
HETERO_ROT,paraphrase_4,3,0.09780584,0.00409188,0.041837,0.12749014,-0.01241638,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.23
HETERO_ROT,paraphrase_4,4,0.09780584,0.00409188,0.041837,0.12749014,-0.01241638,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.08
HETERO_ROT,paraphrase_5,0,0.0956998,0.0028524,0.029806,0.12875369,-0.01247663,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.12
HETERO_ROT,paraphrase_5,1,0.0956998,0.0028524,0.029806,0.12875369,-0.01247663,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.13
HETERO_ROT,paraphrase_5,2,0.0956998,0.0028524,0.029806,0.12875369,-0.01247663,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.11
HETERO_ROT,paraphrase_5,3,0.0956998,0.0028524,0.029806,0.12875369,-0.01247663,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.14
HETERO_ROT,paraphrase_5,4,0.0956998,0.0028524,0.029806,0.12875369,-0.01247663,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.12
HETERO_ROT,planning_0,0,0.08253047,0.00494658,0.059936,0.11065636,-0.01061382,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.11
HETERO_ROT,planning_0,1,0.08253047,0.00494658,0.059936,0.11065636,-0.01061382,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.26
HETERO_ROT,planning_0,2,0.08253047,0.00494658,0.059936,0.11065636,-0.01061382,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.06
HETERO_ROT,planning_0,3,0.08253047,0.00494658,0.059936,0.11065636,-0.01061382,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.13
HETERO_ROT,planning_0,4,0.08253047,0.00494658,0.059936,0.11065636,-0.01061382,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.1
HETERO_ROT,planning_1,0,0.08190583,0.00224595,0.027421,0.1186731,-0.01249707,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.16
HETERO_ROT,planning_1,1,0.08190583,0.00224595,0.027421,0.1186731,-0.01249707,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.23
HETERO_ROT,planning_1,2,0.08190583,0.00224595,0.027421,0.1186731,-0.01249707,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.14
HETERO_ROT,planning_1,3,0.08190583,0.00224595,0.027421,0.1186731,-0.01249707,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.18
